"Время","Rambler, Визиты","Rambler, Доля","Mail.ru, Визиты","Mail.ru, Доля","Google, Визиты","Google, Доля","Яндекс, Визиты","Яндекс, Доля","Остальные, Визиты","Остальные, Доля"
"2015-01-01 - 2015-01-01","852160","0.00715620863200031","6795739","0.057068773578460796","40889000","0.34337473567623533","67054003","0.5631013366958959","3488913","0.029298945417407643"
"2015-01-02 - 2015-01-02","1086015","0.007244992301801662","8437040","0.05628494067760823","50295951","0.33553291419252373","85701308","0.5717281222767027","4378396","0.02920903055136365"
"2015-01-03 - 2015-01-03","1126459","0.007044939947346585","9017736","0.05639744418662854","53498515","0.33458281699309117","91585678","0.572782144354141","4667794","0.0291926545187927"
"2015-01-04 - 2015-01-04","1164893","0.007081865476831543","9215741","0.056026294287390345","54686952","0.33246455889248516","94632940","0.5753127117744469","4789043","0.029114569568846033"
"2015-01-05 - 2015-01-05","1184689","0.007043462909818586","9448566","0.0561756074142437","55658554","0.33091297438664063","97029139","0.5768781019475424","4876005","0.028989853341754652"
"2015-01-06 - 2015-01-06","1125682","0.0066672633756492084","9362954","0.055455519669043524","56253469","0.3331817454813331","97253570","0.5760198398945142","4841513","0.02867563157945985"
"2015-01-07 - 2015-01-07","1137135","0.006640428467364163","9473268","0.055320220120012115","57091067","0.33338974399609084","98551515","0.5755027201764665","4991236","0.029146887240066338"
"2015-01-08 - 2015-01-08","1199092","0.006706031387601687","9996834","0.05590820602642977","58912718","0.32947474925771075","103520262","0.5789465080450459","5179085","0.02896450528321187"
"2015-01-09 - 2015-01-09","1220876","0.006816453866275229","9953827","0.05557468779661879","59134036","0.3301600066842649","103655710","0.5787355678963334","5142756","0.028713283756507734"
"2015-01-10 - 2015-01-10","1220857","0.006845033781114708","9891513","0.0554591902502384","59110185","0.33141572938758584","102954258","0.5772382628920497","5179794","0.029041783689011308"
"2015-01-11 - 2015-01-11","1261819","0.006860466657595633","10036756","0.054569498389565305","60802251","0.330579754855697","106567079","0.5794015562270498","5258213","0.02858872387009223"
